date,mean_v
2023-05-25 14:13:01,10.1232876712329
2023-05-26 14:28:56,9.83561643835616
2023-05-27 02:37:50,11.4063274624918
2023-05-28 14:19:22,10.0328767123288
2023-05-29 02:27:45,10.0780821917808
2023-05-29 14:12:58,10.0616438356164
2023-05-29 14:37:49,9.8027397260274
2023-05-29 14:37:51,10.1607305936073
2023-05-31 14:27:49,12.1802130898021
2023-05-31 14:28:56,9.76438356164384
2023-06-01 02:37:50,10.2292237442922
2023-06-02 14:13:07,9.67397260273973
2023-06-03 02:29:00,11.6688356164384
2023-06-03 14:37:51,10.1666666666667
2023-06-06 02:37:50,10.175799086758
2023-06-08 02:29:00,11.9926484018265
2023-06-08 14:37:51,9.67397260273973
2023-06-10 14:27:49,11.3091976516634
2023-06-11 02:37:50,11.3005136986301
2023-06-13 02:29:00,11.3050228310502
2023-06-13 14:19:06,11.4116438356164
2023-06-13 14:37:49,12.0161643835616
2023-06-13 14:37:51,11.2462328767123
2023-06-13 14:38:56,9.69589041095891
2023-06-14 14:12:59,12.0657534246575
2023-06-15 14:27:49,11.1777397260274
2023-06-15 14:30:11,12.0464383561644
2023-06-16 02:37:50,11.053595890411
2023-06-17 14:19:12,10.9527397260274
2023-06-18 02:27:50,9.88858447488585
2023-06-18 02:29:00,11.0204337899543
2023-06-18 14:12:55,10.9732876712329
2023-06-18 14:37:49,10.9232876712329
2023-06-18 14:37:51,10.0821917808219
2023-06-20 14:27:49,10.6035225048924
2023-06-20 14:30:11,10.8323630136986
2023-06-21 02:37:50,10.6231735159817
2023-06-21 14:19:09,10.8660273972603
2023-06-21 14:19:12,10.4200913242009
2023-06-22 14:12:57,11.0377473363775
2023-06-22 14:13:04,10.2908675799087
2023-06-23 02:27:50,10.0021917808219
2023-06-23 02:29:00,10.8003424657534
2023-06-23 14:37:49,11.0602739726027
2023-06-23 14:38:56,10.036301369863
2023-06-25 14:19:09,10.3843444227006
2023-06-25 14:19:17,10.4594911937378
2023-06-25 14:29:01,10.4776908023483
2023-06-25 14:30:11,10.9252663622527
2023-06-26 02:37:50,10.3595129375951
2023-06-26 02:38:55,9.91780821917808
2023-06-26 14:13:03,10.3471624266145
2023-06-26 14:13:07,10.2270547945205
2023-06-28 02:27:50,8.71232876712329
2023-06-28 02:29:00,10.6060273972603
2023-06-28 14:37:49,10.222203196347
2023-06-28 14:37:51,10.5309589041096
2023-06-29 14:19:14,9.9518590998043
2023-06-29 14:19:15,10.7742465753425
2023-06-30 14:13:03,10.4013698630137
2023-06-30 14:13:05,9.93502935420744
2023-06-30 14:27:49,10.5406849315069
2023-06-30 14:29:01,10.058904109589
2023-07-01 02:37:50,10.0581430745814
2023-07-01 02:38:55,10.0710616438356
2023-07-03 02:27:50,10.2015220700152
2023-07-03 14:19:20,9.33333333333333
2023-07-03 14:19:21,9.96027397260274
2023-07-03 14:37:49,10.3616438356164
2023-07-03 14:37:51,8.38630136986301
