time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
2023-08-03 15:47:32+00:00,,,,,-10.568648463194622,-7.8827627420881266,-7.267410428659501,-6.684673949099533,-6.163062633220822,-6.1293330997694975,-5.833608898579101,-5.703955213202107,-5.669533984033509,-5.479618295741651,-5.4002106984448375,-5.2932182280727,-5.317064542880143,-5.367643113616467,-5.287223667192193,-5.404823577461948,-5.525779436729125,-5.56383889549001,-5.654469578069771,-5.528630674360276,-5.54897665053911,-5.4579540868259295,-5.410238182130403,-5.259010210679589,-5.202940674035183,-5.144179574009848,-5.03413829425036,-4.977070115945214,-4.994669176782428,-4.93122549318782,-4.830222394020423,-4.85753728680232,-4.828731531389322,-4.799576081568075,-4.756040074806928,-4.918108474722775,-4.80545395632442,-4.6494725001845545,-4.611711432226925,-5.023827851777476,-4.619694429016676,-4.508790976242888,-4.593802866173466,-4.609354269963978,-4.6098401223086585,-4.583468988173541,-4.498744703081116,-4.617258718431158,-4.6275215253618285,-4.5835631891796265,-4.628845309920092,-4.639823813709471,-4.750219678244484,-4.647116057255838,-4.857152812530053,-4.6317186269256325,-4.46084147568677,-4.646257266965966,-4.601879011057237,-4.6633104205726505,-4.666142204931689,-4.658118365442342,-4.654136002358398,-4.656270459657034,-4.684247509697643,-4.622145820978085,-4.600340197988087,-4.670956376496665,-4.610687592442249,-4.5919511967340085,-4.582752387432095,-4.5516565710133,-4.431152464020474,-4.575885795178654,-4.537490898324197,-4.528689486594195,-4.427149716767027,-4.518533679321732,-4.5146937778996445,-4.345805037029779,-4.585786679287363,-4.492431045301412,-4.4471260089519005,-4.440025945945668,-4.398132133353121,-4.416059218726849,-4.308826987793886,-4.076541799542182,-4.1602892632068,-4.109706471310318,-4.106010424482993,-3.9421275457574345,-3.9445715070583516,-4.032788828868869,-3.8091235235893257,-3.6960002147434423,-3.7620865601531115,-3.7222144453757213
2023-08-03 16:17:32+00:00,,,,,-10.575546085974985,-7.881542123443948,-7.267640259360415,-6.671934766641202,-6.1542939261492275,-6.116545872081216,-5.831435540707547,-5.705080799555328,-5.673575791637143,-5.482742512703032,-5.404148308691817,-5.314026363717525,-5.3264032908559305,-5.361891534643623,-5.304259523986099,-5.402598502512002,-5.520889913457271,-5.555928148233859,-5.629112641597567,-5.518775623808987,-5.534895402730703,-5.444408945773114,-5.3977846242328775,-5.245524634783415,-5.190253110846122,-5.137019128173882,-5.033294878919869,-4.9840099966639615,-4.997936817642221,-4.9347783328630825,-4.847266027346093,-4.866308586736404,-4.847440358199858,-4.812696113627597,-4.769890506585183,-4.881294423749016,-4.794932399138871,-4.6630325189665625,-4.6313488711421495,-4.999576385454542,-4.630325633106993,-4.534776320466977,-4.596427007208555,-4.615729362472604,-4.612002670340824,-4.593495163251874,-4.523592496834327,-4.626537822159956,-4.6376680792286225,-4.600905974528371,-4.639200087094849,-4.646085449742155,-4.726862363098976,-4.653134737774246,-4.818337188026141,-4.6390650666908115,-4.500478550305749,-4.650856589926591,-4.615331219491432,-4.665828103463745,-4.6689511949465885,-4.658633608347811,-4.657049181511474,-4.659958295924904,-4.6849377720994125,-4.627621670737198,-4.604230212316313,-4.664767307770404,-4.6143737900187105,-4.593963048586182,-4.58236222066591,-4.558053846757084,-4.457230165000818,-4.576467370821409,-4.537617634292984,-4.529158898070606,-4.44235931014102,-4.5197459742082415,-4.503644817551834,-4.351257310760051,-4.544936936259622,-4.466437107849501,-4.430071870145559,-4.415653896376842,-4.3688235515823575,-4.384960660429137,-4.283558663248378,-4.07387745192523,-4.133087995993304,-4.0948905934838065,-4.071895542191407,-3.929978483826883,-3.927379531384125,-3.9751288142179853,-3.786415798625997,-3.6797392397935833,-3.7287593610830316,-3.683830099995682
2023-08-03 16:47:32+00:00,,,,,-10.579209912012681,-7.879902428028041,-7.26662514062045,-6.658876247076072,-6.145301966676903,-6.103118944070158,-5.829009031976393,-5.705946830272411,-5.677105890078808,-5.485582839961951,-5.4077543702807125,-5.333939444201744,-5.335300286785456,-5.3560436833811655,-5.320216647736199,-5.400145344268281,-5.515804409140025,-5.547890149519956,-5.60408089917707,-5.5088339721696045,-5.520877398525714,-5.430885244689659,-5.385210525357857,-5.23206170093757,-5.177550744316525,-5.129775592057756,-5.032275495591583,-4.99048211906219,-5.000943739174929,-4.938064701261813,-4.863487354595301,-4.874686786985009,-4.865746299770286,-4.8253090154926435,-4.783300974032132,-4.84527589070969,-4.785133865142015,-4.676157045250728,-4.650290089062754,-4.975429400975974,-4.640651319685496,-4.560034790932273,-4.598928489767835,-4.621624856061297,-4.614155923729237,-4.6031722685801055,-4.547830538821453,-4.635352151294293,-4.64741132090414,-4.617505833017617,-4.649086264218951,-4.651992599808306,-4.704095869908206,-4.658794241447232,-4.780589372911974,-4.6460482842055315,-4.538650620702787,-4.6551672931747445,-4.628140704524087,-4.668156808932183,-4.671427875343948,-4.659342862714442,-4.65978616194409,-4.663480886231603,-4.685472229640956,-4.6328965048617885,-4.607919807285877,-4.6586988134272165,-4.617815735821958,-4.595840473023206,-4.5823688146968795,-4.56424458120197,-4.482748564529155,-4.5769654546734335,-4.537709892638199,-4.529642626717281,-4.4570152497796505,-4.520299324924076,-4.4928905712846445,-4.356525339143551,-4.505358038814462,-4.44091495965323,-4.413518076460588,-4.391879195275791,-4.340459098575277,-4.354780778880275,-4.258885693300451,-4.071361717786614,-4.10662058724477,-4.080776695379293,-4.038895869748008,-3.9183989242538946,-3.9109418537238336,-3.9191439073350396,-3.7644504899259186,-3.663671988457535,-3.6967106656238435,-3.646603402793714
2023-08-03 17:17:32+00:00,,,,,-10.579420717020877,-7.877873679677734,-7.2640570190792095,-6.645475932817129,-6.136062850855356,-6.088994905002893,-5.826233241782042,-5.706422589962594,-5.679825589861783,-5.487989864682333,-5.410847251749535,-5.352344747526474,-5.343466403119008,-5.350208614843593,-5.334513883727954,-5.397462382416857,-5.510588218200429,-5.539882475934213,-5.58002689403364,-5.498995409884682,-5.507240165052749,-5.417706967519303,-5.372766364540991,-5.218964168633953,-5.165133949044238,-5.122658402572795,-5.031063687625948,-4.996307069050714,-5.003672149484668,-4.941078762884846,-4.878563691734919,-4.8824962082320305,-4.883198267479617,-4.837146720712934,-4.796019619300098,-4.811391159814819,-4.7767942578165306,-4.688543750542797,-4.668021197338122,-4.951700752390067,-4.6504207691461845,-4.583953886222568,-4.601351742606186,-4.6268944867930255,-4.616325395176207,-4.612241137677807,-4.5707211141223825,-4.643475061466743,-4.656443898436386,-4.632825321776591,-4.65815497311561,-4.657289490618227,-4.682366341885027,-4.66384819588994,-4.74485542021665,-4.652375891451245,-4.573890304939408,-4.658936433689729,-4.63968371027027,-4.670078955010809,-4.673318489539209,-4.660212314679632,-4.662137201303378,-4.6666276048438124,-4.6856731683023565,-4.6376462890741585,-4.6111884807043735,-4.652820461883467,-4.620782957121349,-4.597400270574724,-4.58307265537354,-4.569976679305616,-4.5069861185052345,-4.577237720479265,-4.537677364764688,-4.530017504256463,-4.470601373259368,-4.5199290654357025,-4.482590787732011,-4.361422654576862,-4.468105919647666,-4.416281300849212,-4.397790953750724,-4.369207073520016,-4.313799167809044,-4.32622971865159,-4.2352849598577915,-4.0690393129526425,-4.081535853014383,-4.067668502667285,-4.00771826872475,-3.9076534296401215,-3.8955839878075933,-3.866274123698806,-3.7437677659359627,-3.6483662971934274,-3.6667946108182994,-3.6115678401744584
2023-08-03 17:47:32+00:00,,,,,-10.57645345313101,-7.875686773814516,-7.2598242165152795,-6.631781056458119,-6.126599850782096,-6.074195074432524,-5.823052474326056,-5.706414037127985,-5.681491015071703,-5.489837768193122,-5.41327118209147,-5.368704204898474,-5.350648934191179,-5.344494315935667,-5.346635528710683,-5.3945504254372985,-5.505299262596837,-5.532042473498742,-5.55750294702069,-5.489423576628848,-5.494258442418708,-5.405148202726723,-5.360663138076766,-5.206518755320119,-5.1532555821058565,-5.115839611497488,-5.029642475344365,-5.001315935829943,-5.006086642235525,-4.943798469948136,-4.8921849221360265,-4.889564158148046,-4.8993792967043435,-4.8479514083372,-4.807802643021027,-4.7808015375067265,-4.7704845988678555,-4.6999065826881745,-4.684078921361804,-4.928641280866965,-4.659392712037718,-4.605975887159254,-4.603720311187565,-4.631394744614557,-4.618518037568278,-4.620460453992848,-4.591619828590795,-4.650690393721399,-4.664492588632572,-4.646392198353199,-4.666097998374317,-4.66175036800937,-4.662091660048496,-4.668076168377718,-4.711996585670659,-4.65780269333651,-4.604959420398493,-4.661950836284505,-4.649417193033037,-4.671419676728978,-4.674434788866809,-4.661208040861975,-4.663930098022739,-4.669223724854334,-4.685400889853431,-4.641595673547351,-4.613849645565427,-4.647199998352185,-4.623084154558229,-4.598491060892022,-4.5846554567057,-4.57503837085685,-4.529304044808835,-4.577157195709832,-4.537444215126262,-4.530172818677292,-4.4826642360663795,-4.5183969875102585,-4.472900740853711,-4.3658081664791295,-4.4340951162225375,-4.3929387626227285,-4.383179606065853,-4.348091822977122,-4.289511253997084,-4.299940052066491,-4.213175671120792,-4.066984240214325,-4.058433115696844,-4.055842563427443,-3.978986573301856,-3.8979719693413872,-3.88159780877964,-3.8178196856285043,-3.724855853885579,-3.6343132958117494,-3.6397508579448274,-3.5796487043273513
2023-08-03 18:17:32+00:00,,,,,-10.571125464894202,-7.873783844488889,-7.2540498533914155,-6.617924329915825,-6.116996854123621,-6.0588454093292405,-5.819465322684253,-5.705878641410413,-5.681940155706111,-5.491038561888227,-5.414912982524669,-5.382589109670818,-5.356653657256028,-5.3390126537272184,-5.356173107207612,-5.3914227922525075,-5.499995250473012,-5.5244907486659125,-5.53693998481816,-5.480258997720089,-5.482161809569158,-5.393430226264288,-5.349073659190403,-5.194951844824399,-5.142117682364801,-5.109454199867633,-5.0280042316536555,-5.005367954169429,-5.008142141701969,-4.946192996616746,-4.9040824700891035,-4.895734065570058,-4.913933596992885,-4.857493004339656,-4.818428799543179,-4.754435009348702,-4.766587049409817,-4.709991833541514,-4.69807715795925,-4.906427226770058,-4.667346644389349,-4.625624470993383,-4.606032032120999,-4.634994686442355,-4.620719200601037,-4.627617021768701,-4.610005259540195,-4.65680158440206,-4.671331669221869,-4.65782481532702,-4.672662615283553,-4.665189748382391,-4.643627371720783,-4.671292373321945,-4.682744430587323,-4.662139214288112,-4.630908930318994,-4.664043927633487,-4.656895415271842,-4.672051003248637,-4.674658593383429,-4.662280844985535,-4.665034880760731,-4.671134819194464,-4.6845579684963985,-4.644527495688864,-4.615758511893099,-4.64189685091191,-4.624576503176409,-4.599000752991564,-4.587161103671077,-4.579267637351161,-4.549171785535003,-4.576617756938639,-4.536953047188683,-4.530012416852285,-4.492834503779683,-4.515501002273398,-4.463962537710852,-4.369593919766448,-4.404052659892811,-4.371255644250699,-4.369918834653674,-4.328911512618034,-4.268131143924699,-4.2764310701402835,-4.192898838555474,-4.065296536894123,-4.037831668440781,-4.045525419164556,-3.953208221337373,-3.8895331964104387,-3.8692070364246836,-3.7748738908038595,-3.708125024754312,-3.621903913230634,-3.616163933625903,-3.5516151742467716
2023-08-03 18:47:32+00:00,,,,,-10.564796400431586,-7.872799247956189,-7.247105634058965,-6.6041267525621725,-6.107401051021518,-6.043188178105704,-5.815529103637998,-5.7048302338631975,-5.6811067763318555,-5.491549277615643,-5.415710953323352,-5.393703163097535,-5.361357576499691,-5.333878026362409,-5.362856397053712,-5.388110602252984,-5.494737862232449,-5.51733278542439,-5.518635051179462,-5.471620440868033,-5.471132388698742,-5.382719899578003,-5.33813465077574,-5.184427811930374,-5.131870021037098,-5.103600678567439,-5.026156077739131,-5.0083625876428375,-5.00979034282148,-4.948228264601418,-4.914050143356657,-4.90087520664592,-4.92658403657949,-4.865582633384008,-4.827710691532113,-4.732949175817945,-4.765280014140271,-4.7185918184687505,-4.7097253076633745,-4.8851634345528385,-4.674091690344155,-4.642524927641959,-4.608257231415711,-4.637584526210988,-4.622890546882535,-4.633533536562939,-4.625495270921263,-4.661639400718618,-4.676790820455136,-4.666849789163455,-4.677661309762607,-4.667468989224703,-4.627241210506115,-4.673352406251079,-4.657665294352747,-4.665255565574775,-4.651116059146157,-4.665099651972832,-4.661783948936583,-4.671893057306239,-4.673940592452165,-4.66335480745568,-4.665365747903776,-4.672268521019733,-4.683089939059703,-4.646288138148973,-4.616816853965366,-4.636956931542471,-4.625171084035334,-4.598860393176332,-4.590491080562527,-4.582557403922132,-4.566184288623647,-4.57553816790272,-4.536167309033342,-4.529457579546824,-4.500843533820983,-4.5110874126076075,-4.455897134650731,-4.372745846894386,-4.378487457631971,-4.351551379458346,-4.358177344253477,-4.3119504239984305,-4.250036082303342,-4.256083342570979,-4.174706080046092,-4.064097709539235,-4.020143858557673,-4.036877141779707,-3.9307503715137484,-3.882451477952276,-3.858545345528256,-3.7382708838647836,-3.6938886012600847,-3.6114183066379653,-3.5964347331247244,-3.5280441499609463
2023-08-03 19:17:32+00:00,,,,,-10.559317236798485,-7.873511190053782,-7.239598280891843,-6.590686368430963,-6.098013975863952,-6.027577343625216,-5.811354073577287,-5.703333368053755,-5.679019804193029,-5.491371279430634,-5.415655006323463,-5.401892121724393,-5.364711187512425,-5.32919937622269,-5.36657066540265,-5.384662391792711,-5.489592765460523,-5.510657680593931,-5.5027470130373795,-5.463603674149778,-5.461301595489101,-5.373128284452728,-5.327948141813481,-5.175048842573758,-5.12260966290527,-5.09834107742975,-5.024119385071145,-5.010244856344339,-5.010983748310767,-4.949869779056001,-4.921955834241717,-4.904888215999528,-4.937138691685272,-4.872080988345068,-4.83550190025456,-4.716713469614621,-4.766533093093642,-4.725554615542208,-4.718837342785788,-4.864897466933673,-4.6794722447585535,-4.656416943825608,-4.6103398206324435,-4.639082306398583,-4.624969069635019,-4.63807337698184,-4.6378504935629845,-4.665068050773817,-4.680757423882722,-4.673310840712503,-4.68097594409761,-4.668498872070286,-4.61309801488312,-4.674157419109825,-4.637134940471028,-4.6670806985684345,-4.665297572156955,-4.665053066922491,-4.663871852094458,-4.67091206678863,-4.672293948249866,-4.6643208112115895,-4.664879891949524,-4.672573375012532,-4.680982336685032,-4.646788459994614,-4.61697390526153,-4.632408473878643,-4.624833515115389,-4.598043642923319,-4.594413210409853,-4.584855596202418,-4.580069567221781,-4.573863770812457,-4.535071115752912,-4.528449550136262,-4.506533489539471,-4.505062981749594,-4.448796847116125,-4.375277672681222,-4.35767603120311,-4.334087282140622,-4.34805058304155,-4.297389031325067,-4.235430228382801,-4.239123942698101,-4.158756292675925,-4.063523073353172,-4.005652970170123,-4.029981062749013,-3.9118260908848868,-3.87676768460991,-3.849646792200522,-3.708550192008747,-3.682350310504262,-3.6030264240659142,-3.580763077856505,-3.5092967357270966
2023-08-03 19:47:32+00:00,,,,,-10.556930700455649,-7.876767683833011,-7.23232876841629,-6.577953645384553,-6.089071597625542,-6.012457368662661,-5.8070879204372226,-5.701488193001452,-5.675788930465579,-5.490541882902829,-5.414778300538071,-5.407140010501376,-5.36673044021283,-5.325066619582949,-5.3673584712132945,-5.381137786431671,-5.484624791190903,-5.504533450972557,-5.4892993035831035,-5.456277084031997,-5.452745242420548,-5.364708623817806,-5.318580936077082,-5.166855169798963,-5.114380771114532,-5.093699721244469,-5.0219230009035885,-5.0110037164100785,-5.011676771459405,-4.9510824613800395,-4.927744343202297,-4.907706133269897,-4.945486603398413,-4.876901158691567,-4.841699439784321,-4.70580850218073,-4.77011228864663,-4.73078830961645,-4.725331457279597,-4.845639457569277,-4.683369936050385,-4.667159085384657,-4.612200589204176,-4.6394380161359265,-4.626867009047917,-4.641142044322074,-4.646966816994767,-4.666989381598576,-4.683173607548505,-4.677168290332455,-4.682556265452699,-4.668238020300678,-4.601254589136192,-4.6736549279524455,-4.6213229355560435,-4.667597157009121,-4.673499547571463,-4.663887041835712,-4.663080728286602,-4.669114657388934,-4.669783157043089,-4.665034975808238,-4.66357253012579,-4.672034122298778,-4.678253787531574,-4.645999720658118,-4.616222398696163,-4.62825787692714,-4.623578746410809,-4.596561073710353,-4.598580562323983,-4.586159053502005,-4.590685631711458,-4.571564455412364,-4.533665098847655,-4.52694960316428,-4.509858866802745,-4.4974032327892495,-4.442717398354337,-4.37723847178984,-4.341663100903928,-4.319060205748437,-4.339556310882776,-4.285299757274868,-4.224340786278136,-4.2256207990535835,-4.145116830040339,-4.0637091623976485,-3.99449698322702,-4.024837597074663,-3.8964893497099333,-3.8724430858961965,-3.8424456300648537,-3.685937929505814,-3.6735959103967515,-3.596795238078091,-3.5691390139707804,-3.4955066176881235
2023-08-03 20:17:32+00:00,,,,,-10.560129243900972,-7.883393566694608,-7.226227309206953,-6.5662957834591875,-6.080815586378569,-5.998326864535404,-5.80289218910747,-5.699408007772238,-5.671578959204637,-5.489119374167621,-5.413141705803656,-5.4095532537331055,-5.367479818976443,-5.3215337038610615,-5.365406034866199,-5.377595754332802,-5.47988836974021,-5.4989990376178435,-5.47818839296183,-5.4496743067015485,-5.445476948482249,-5.357453399484477,-5.310061576468733,-5.159825036946557,-5.107174195152856,-5.08966064649183,-5.019591181645763,-5.010664225215074,-5.0118238068024095,-4.951827674865334,-4.931432294404174,-4.909291273861387,-4.951584271988989,-4.880006047137571,-4.846241566771273,-4.7000399047521775,-4.775595537510183,-4.734258671963435,-4.7292210907259395,-4.827382556037536,-4.6857018555039955,-4.674724560166736,-4.613741833622665,-4.6386346237026945,-4.628472249535712,-4.642685109397692,-4.652859430794027,-4.667344873958001,-4.684028749397928,-4.678489404865047,-4.682413043018347,-4.6666872165055135,-4.591662107840012,-4.671835617401229,-4.6101858455768445,-4.666831625094007,-4.67606491984128,-4.6616247294728925,-4.659467385243396,-4.6665380677442645,-4.666508685683059,-4.6653212654827865,-4.661467684855752,-4.67066293510369,-4.674945056874044,-4.6439441126273655,-4.614589192648203,-4.624484477793167,-4.621459573182132,-4.594448957872142,-4.602557184035578,-4.5865008834506265,-4.598007241113638,-4.568627812840975,-4.531957398502889,-4.5249346345919434,-4.510877765924395,-4.488154393103653,-4.437668510455561,-4.378694795473338,-4.330274127857381,-4.3065960918459,-4.332630957676058,-4.275646291784789,-4.216622368228614,-4.215483764948055,-4.133765722190714,-4.064775291442707,-3.986659014819611,-4.021359579033788,-3.8846368775180857,-3.8693557554289315,-3.8367822323101053,-3.6703436236801066,-3.6675870655924103,-3.592697682275432,-3.5613414102806877,-3.48657879510104
