date,sector,plume,melange
2023-08-04 20:00,D,3,1
2023-08-05 10:00,D,3,2
2023-08-05 20:00,C,2,2
2023-08-06 10:00,D,3,2
2023-08-06 20:00,C,2,2
2023-08-07 10:00,D,3,2
2023-08-07 20:00,C,2,2
2023-08-08 10:00,C,2,3
2023-08-08 20:00,C,2,3
2023-08-09 10:00,C,2,3
2023-08-09 20:00,NaN,1,2
2023-08-10 10:00,B,4,3
2023-08-10 20:00,C,2,3
2023-08-11 10:00,C,2,3
2023-08-11 20:00,C,2,3
2023-08-12 10:00,C,2,3
2023-08-12 20:00,C,2,3
2023-08-13 10:00,C,2,3
2023-08-13 20:00,C,2,2
2023-08-14 10:00,C,2,1
2023-08-14 20:00,C,3,1
2023-08-15 10:00,C,2,2
2023-08-15 20:00,C,2,2
