index_time,index_volume,V_events,time,coord_4326_x,coord_4326_y,Coord_3413_x,Coord_3413_y
0,51,-22767.7041301013,2023-08-03 18:02:02,-45.7962155852347,61.3133103515238,-44071.8114790845,-3171209.26945126
1,97,-10132.6986263505,2023-08-03 19:12:01,-45.7893398205718,61.311680580254,-43693.8360830445,-3171402.16368153
2,61,-18502.4526692807,2023-08-03 20:52:01,-45.7757877579457,61.308849802981,-42948.1220541808,-3171738.30863347
3,118,-7771.53998656383,2023-08-04 01:52:02,-45.7844797439308,61.3099849694389,-43427.4967630022,-3171601.06824824
4,71,-13738.4855715494,2023-08-04 03:32:01,-45.7953767556184,61.3126329410454,-44026.4665766183,-3171287.90128679
5,73,-13486.7172993702,2023-08-04 05:02:02,-45.7811404744451,61.309357802011,-43243.6362757837,-3171675.79785669
6,98,-10112.344994956,2023-08-04 15:02:01,-45.7739928812814,61.3087523073417,-42848.9141866188,-3171750.87694612
7,27,-37199.8956249012,2023-08-04 15:32:01,-45.7744027120371,61.308714059641,-42871.6609089551,-3171754.973744
8,81,-12448.1228597161,2023-08-04 15:42:01,-45.7806555202574,61.3093785459288,-43216.7585191287,-3171673.77556814
9,62,-18408.6871109457,2023-08-04 20:22:01,-45.7846277550114,61.3099302468656,-43435.7761789099,-3171607.25609207
10,5,-126997.128677204,2023-08-04 22:22:01,-45.7856331581886,61.311307039205,-43489.2567110394,-3171447.98807587
11,46,-24143.0716322716,2023-08-04 23:22:02,-45.7851454835494,61.3112200794339,-43462.4000385622,-3171458.3694717
12,50,-22789.7101172097,2023-08-05 00:52:01,-45.7747374233941,61.3086582833133,-42890.2765484482,-3171761.14464712
13,84,-11852.1774659073,2023-08-05 03:52:01,-45.7746658480273,61.3087843826516,-42886.1180066393,-3171746.68068762
14,112,-8072.04926928907,2023-08-05 15:22:02,-45.7851787042083,61.3125486231366,-43462.1427330068,-3171305.39445259
15,101,-9886.85312290168,2023-08-08 02:22:01,-45.7797678656675,61.3097248063794,-43167.0788098105,-3171634.58071731
16,69,-14499.1286901427,2023-08-08 02:52:02,-45.7775146370316,61.3092170023622,-43043.143645886,-3171694.7379846
17,9,-90683.457132141,2023-08-08 04:42:01,-45.7793513448968,61.3094937704113,-43144.3839293059,-3171661.4929699
18,55,-21276.5313194161,2023-08-08 04:42:01,-45.7845115890904,61.3112596537036,-43427.2500756064,-3171454.29408818
19,88,-11296.913653962,2023-08-08 05:32:01,-45.7810659685234,61.3108665246622,-43237.1439308681,-3171502.1595042
20,109,-8258.0305782072,2023-08-08 08:42:02,-45.7862967236115,61.3124523767455,-43524.1768578066,-3171315.62618897
21,104,-9071.48225937451,2023-08-08 09:32:02,-45.7857100858867,61.3113963737122,-43493.373783238,-3171437.64494273
22,7,-98937.7164309779,2023-08-08 10:42:01,-45.7816985187283,61.3107731065424,-43272.3043182857,-3171512.43687465
23,39,-27203.6013749546,2023-08-08 10:52:01,-45.7821110492525,61.3108425554302,-43295.0301097425,-3171504.129821
24,122,-7476.68511611021,2023-08-08 16:12:01,-45.7835879271116,61.3116600145876,-43375.4928345362,-3171408.90174658
25,113,-7997.51098048498,2023-08-08 18:52:01,-45.7825779244093,61.3115940135757,-43319.6914259081,-3171417.26431198
26,85,-11811.5485505183,2023-08-08 22:32:01,-45.7860326320767,61.3123461698273,-43509.7271703994,-3171328.05390959
27,28,-36552.242404439,2023-08-08 22:52:01,-45.7784267785624,61.3098581896793,-43092.6336545361,-3171620.23419527
28,42,-25821.2977920525,2023-08-09 03:12:01,-45.7856214207832,61.3123305927844,-43486.9911673419,-3171330.15941456
29,83,-12156.4251413451,2023-08-09 03:52:01,-45.803382551866,61.3146148488651,-44466.3828058516,-3171053.55237052
30,107,-8884.94023086781,2023-08-09 06:02:02,-45.7737684118808,61.3087356303801,-42836.5140529338,-3171752.96477401
31,124,-7251.53513312517,2023-08-09 10:42:01,-45.7962420013719,61.3128792548283,-44073.9633154893,-3171258.87914516
32,111,-8129.53859148652,2023-08-09 12:02:01,-45.7793340561261,61.3103018842029,-43142.1613477095,-3171568.47021733
33,16,-56478.388863603,2023-08-09 15:42:01,-45.7726140310226,61.3088678926492,-42772.4050244085,-3171738.60012622
34,38,-28106.3124767377,2023-08-09 19:52:01,-45.7853281458225,61.3110574204908,-43472.7675213804,-3171476.9572152
35,94,-10339.2019183394,2023-08-09 20:02:01,-45.784281715357,61.3110275545834,-43414.8918148953,-3171481.18901131
36,120,-7542.15465497108,2023-08-09 21:02:02,-45.8057702977975,61.3145109272815,-44598.7016055089,-3171063.66039399
37,20,-48653.0044826135,2023-08-09 22:02:02,-45.7935388168983,61.312320483878,-43925.2359560905,-3171325.28369513
38,80,-12475.7396991121,2023-08-09 22:42:02,-45.7855917749534,61.3111456755283,-43487.2207884099,-3171466.59667907
39,82,-12378.5851058441,2023-08-09 22:52:01,-45.7843941851861,61.3110448610511,-43421.0900549237,-3171479.11135241
40,123,-7439.44956012524,2023-08-09 23:22:01,-45.8056403272564,61.3123569862893,-44594.9952974021,-3171311.73311202
41,67,-15633.6338344253,2023-08-10 00:12:01,-45.7844288347017,61.3109369256273,-43423.1781372585,-3171491.51130825
42,110,-8235.25128752164,2023-08-10 00:32:02,-45.7848409246289,61.3109884129103,-43445.907336193,-3171485.27136762
43,11,-81611.9085309246,2023-08-10 01:22:02,-45.7852939482599,61.3111833094316,-43470.6759386917,-3171462.49003412
44,34,-32701.6280724752,2023-08-10 01:42:01,-45.7872419616351,61.311423416135,-43578.1234192489,-3171433.36766972
45,72,-13584.5466360066,2023-08-10 02:32:02,-45.7846200224206,61.311115380302,-43433.479582144,-3171470.82155608
46,125,-7224.99750245661,2023-08-10 04:22:02,-45.7839564086218,61.3114603737267,-43396.2033472871,-3171431.60660084
47,2,-160492.181180066,2023-08-10 06:42:01,-45.7915655787436,61.3125654234318,-43815.6274613651,-3171298.59579685
48,130,-6157.79469472111,2023-08-10 09:52:01,-45.7820350273848,61.3107891254769,-43290.9060204217,-3171510.33846899
49,1,-201267.038558382,2023-08-10 11:02:01,-45.7893943128719,61.3123625877017,-43695.7704752532,-3171323.60551379
50,26,-38056.0014781022,2023-08-10 11:02:01,-45.7915418142035,61.3131042389247,-43813.4550861707,-3171236.58268834
51,6,-107617.75633089,2023-08-10 11:12:01,-45.7902640231021,61.3127884723848,-43743.2326633611,-3171273.91171594
52,15,-60254.2670576242,2023-08-10 11:12:01,-45.7922581235097,61.3133694016561,-43852.6796048638,-3171205.50781248
53,21,-46442.3068202137,2023-08-10 12:12:01,-45.7825289504511,61.3111274427439,-43317.7142985778,-3171471.01589096
54,13,-71180.5199724177,2023-08-10 12:22:01,-45.7828245420919,61.3110000483701,-43334.2764654864,-3171485.45882544
55,102,-9809.2134510233,2023-08-10 12:22:01,-45.7832055588834,61.3113031020753,-43354.8898831755,-3171450.28111869
56,3,-150580.85822268,2023-08-10 13:52:01,-45.7910172049492,61.3130354711872,-43784.5280451576,-3171244.90061601
57,31,-35290.5674400087,2023-08-10 14:02:02,-45.7905776804238,61.3133791919162,-43759.6549071525,-3171205.66551135
58,17,-55169.6160845897,2023-08-10 22:32:01,-45.7857307511861,61.3122222251019,-43493.213721959,-3171342.55233461
59,10,-82431.0889111052,2023-08-11 00:32:01,-45.7857154767139,61.3116118132153,-43493.3320276009,-3171412.83814166
60,90,-11170.1105311975,2023-08-11 00:32:01,-45.7931685723922,61.3124483375883,-43904.5391195748,-3171310.84825687
61,74,-13252.1201559754,2023-08-11 00:52:01,-45.7891526634379,61.3116637117823,-43683.5034210604,-3171404.24838917
62,128,-6625.35257692291,2023-08-11 02:52:01,-45.7921297882434,61.3127237376237,-43846.6042353646,-3171279.93819968
63,92,-10821.8639851336,2023-08-11 03:52:01,-45.7896975641124,61.3125403840714,-43712.2733054341,-3171302.90530055
64,37,-29535.5820389615,2023-08-11 04:22:01,-45.7875951415308,61.3121036927946,-43596.5959860087,-3171354.78151423
65,47,-23874.286689863,2023-08-11 05:22:01,-45.7867655266571,61.3117852943337,-43551.1796922631,-3171392.06833212
66,40,-26147.8315502244,2023-08-11 07:12:01,-45.7915791570606,61.3131040213247,-43815.5223041458,-3171236.57918322
67,129,-6499.52273384221,2023-08-11 11:52:01,-45.8067011398823,61.3143976671946,-44650.4031171251,-3171075.97437298
68,121,-7494.17588621721,2023-08-11 12:22:01,-45.7574034660576,61.309923175422,-41928.7818739711,-3171628.3508419
69,22,-46326.9802652332,2023-08-11 16:52:02,-45.7909029154486,61.3129463571646,-43778.3439003352,-3171255.24721894
70,57,-20504.7736554739,2023-08-11 19:02:01,-45.7768825496936,61.3093283543233,-43007.979655855,-3171682.39297705
71,93,-10792.782101932,2023-08-12 01:02:02,-45.752673508458,61.3120143862597,-41663.7903418902,-3171391.04603677
72,99,-10081.3042155218,2023-08-12 01:12:01,-45.8045278111537,61.3141232610308,-44530.5622654586,-3171109.25655049
73,106,-8975.8929638337,2023-08-12 16:02:01,-45.793478651229,61.3128954243168,-43920.9890676086,-3171259.13960912
74,8,-95560.2424314865,2023-08-12 17:42:02,-45.8103506799655,61.3139809150762,-44853.0680522695,-3171121.10206806
75,133,-5164.40055563956,2023-08-12 19:02:01,-45.7892053466497,61.3122739062149,-43685.4518243683,-3171333.95911779
76,36,-30740.1401223182,2023-08-12 19:32:01,-45.7828511403822,61.3105689538242,-43336.4269160194,-3171535.06912792
77,91,-10946.3786867514,2023-08-12 19:32:01,-45.791428428029,61.3130510318739,-43807.2639458637,-3171242.7948574
78,25,-40330.0057467105,2023-08-12 20:12:01,-45.7911656713024,61.3129986947743,-43792.8039266237,-3171249.02104142
79,18,-54554.3828791167,2023-08-12 21:52:01,-45.7913865601536,61.3128717167967,-43805.23177134,-3171263.47055496
80,35,-32243.8040918168,2023-08-12 23:52:01,-45.7891716145806,61.312417749359,-43683.3566406304,-3171317.42481062
81,29,-36146.9401349849,2023-08-13 02:22:01,-45.7828093248823,61.3103896359489,-43334.3943441312,-3171555.74502715
82,103,-9749.33076167431,2023-08-13 02:22:01,-45.7892517140208,61.3126327547423,-43687.4491493967,-3171292.61113777
83,41,-25833.9720389009,2023-08-13 02:42:01,-45.7888593465486,61.3118808862673,-43666.923646859,-3171379.46957574
84,100,-10080.871001341,2023-08-13 02:42:01,-45.7909798621686,61.3130356886326,-43782.4608264827,-3171244.90411866
85,86,-11565.981380569,2023-08-13 06:42:01,-45.7927299861837,61.3128279717683,-43879.6587153123,-3171267.47872951
86,105,-8978.69675768395,2023-08-13 07:22:01,-45.7887468712886,61.3118635835082,-43660.7254511164,-3171381.54728507
87,64,-18262.4128601812,2023-08-13 08:52:01,-45.7885592625062,61.3118287609425,-43650.39628668,-3171385.69920774
88,33,-32776.3124954057,2023-08-13 10:02:01,-45.7872599664428,61.3121415475176,-43577.9839642015,-3171350.67844284
89,119,-7581.28395804022,2023-08-13 12:22:01,-45.7884162080612,61.3120809738573,-43642.0784856318,-3171356.7719699
90,96,-10210.8415721291,2023-08-13 19:12:01,-45.7827382255831,61.310533692766,-43330.2321222793,-3171539.21401389
91,131,-5943.53345780299,2023-08-13 19:52:01,-45.7936694484789,61.3130559128372,-43931.2935355669,-3171240.51706859
92,95,-10303.1872806567,2023-08-13 21:22:02,-45.7929513208902,61.3127189445146,-43892.083105716,-3171279.86098946
93,43,-25126.9082795642,2023-08-13 21:52:01,-45.7925410077652,61.3127392949493,-43869.3401611417,-3171277.83238328
94,75,-13135.4019040952,2023-08-13 22:12:01,-45.792356107914,61.3128121972043,-43858.9900201534,-3171269.58104539
95,68,-15120.2480922037,2023-08-13 22:32:01,-45.7925801629198,61.312810890111,-43871.3933435009,-3171269.55999012
96,87,-11354.9722143916,2023-08-14 00:52:02,-45.7922449863927,61.3128487571327,-43852.7813420103,-3171265.45712998
97,66,-16142.2677107006,2023-08-14 01:32:01,-45.7928779961811,61.3127732402301,-43887.9381298875,-3171273.66634855
98,126,-7030.28935482971,2023-08-14 02:22:01,-45.7767882979889,61.3100471283481,-43001.6402707466,-3171599.71325047
99,23,-45412.2300464524,2023-08-14 02:52:01,-45.7936576495237,61.3125891282315,-43931.3849126077,-3171294.26479665
